BAEventsMessage,visitor_rda_id-merchant_id
BAEventsMessage,sender_shipping_address_id-ip_context_address
BAEventsMessage,sender_shipping_address_id-ip_rda_address
BAEventsMessage,sender_shipping_address_id-visitor_context_id
BAEventsMessage,sender_shipping_address_id -payer_id
BAEventsMessage,sender_shipping_address_id-merchant_id
BAEventsMessage,sender_shipping_address_id-visitor_rda_id
BAEventsMessage,sender_shipping_address_id 
BAEventsMessage,merchant_id
BAEventsMessage,billing_agreement_id
BAEventsMessage,event_id
DepositAttemptRejectedRequest,account_number
UserIdentityVerification,account_number
PrimaryBankAccountChanged,account_number
CreditCardAddRejected,account_number
NewAccountCreated,account
RiskPartnerTxnAttemptEvent,receiver_email_address
DecisionResult,account_model_score
DecisionResult,counterparty_model_score
DecisionAttempt,ip
DecisionAttempt,visitor_id
DecisionAttempt,receiver_account_number
Refund,account_number
Refund,counterparty
DecisionAttempt,email
Reversal,account_number
Reversal,counterparty
PaymentDebit,aton135_score
DecisionAttempt,email_lowercase
DecisionAttempt,ip2
DecisionAttempt,ip3
DecisionAttempt,ip_str
LoginAttemptEvaluation,account_number
LoginAttemptEvaluation,login_entry_point
Withdrawal,instrument_id
RiskPartnerTxnAttemptEvent,sender_phone_number
RiskPartnerTxnAttemptEvent,sender_venmo_accountNumber
POSISO,access_instrument_id
POSISO,account_number
PaymentDebit,binhmac_receiver
MadmenBREVariableTrack,account_number
AddressChanged,address_hash_64
PaymentDebit,address_hash_64
NewAccountCreated,n_address
NewAccountCreated,fl_name
UserFundsAvailabilityEvent,account_number
NewAccountCreated,address_hash64
BRECheckpointResult,ActivityId
LexaContact,account_number
UnilateralPaymentCompeletion,counterparty_alias
BRECheckpointResult,AccountNumber
PaymentDebit,counterparty_email_domain
VenmoCacheOutTransactionDataLakeTable,vm_account_number
RiskPartnerTxnAttemptEvent,counterparty_PayPal_accountNumber
RiskPartnerTxnAttemptEvent,sender_PayPal_accountNumber
VenmoCashOut,account
VenmoCashOut,email
VenmoCashOut,phone
VenmoCashOut,rda_remote_ip
VenmoCashOut,ip_address
PaymentAttempt,ebay_user_name
PaymentAttempt,r_ebay_user_name
AddressChanged,numeric_address
CCAuthResult,counterparty
VenmoCacheOutTransactionDataLakeTable,email
VenmoCacheOutTransactionDataLakeTable,phone
VenmoCacheOutTransactionDataLakeTable,ip_address
PaymentAttempt,email_pattern_l2_domain
RiskPartnerTxnAttemptEvent,Funding Instrument ID Hashed
RiskPartnerTxnAttemptEvent,Partner Funding Instrument ID
RiskPartnerTxnAttemptEvent,Funding Instrument BIN
VenmoCashOut,Funding Instrument ID
VenmoCashOut,RDA Linker ID
VenmoCashOut,card_bin
VenmoCashOut,card_hash
VenmoCashOut,rda_app_guid
PaymentDebit,email_pattern_l2_domain
BRECheckpointResult,ReceiverAccountNumber
VenmoAddFI,venmo_account
VenmoAddFI,ip
OnboradingGCCheckpointResult,ActivityId
OnboradingGCCheckpointResult,AccountNumber
OnboradingGCCheckpointResult,ReceiverAccountNumber
VenmoAddFI,client_fingerprint
RiskWithdrawalAttemptDecision,account
RiskWithdrawalAttemptDecision,ip
LoginCheckpointResult,ActivityId
LoginCheckpointResult,AccountNumber
LoginCheckpointResult,ReceiverAccountNumber
PaymentAttempt,activity_id
PaymentAttemptVO,last_cc_hash
PaymentAttemptVO,last_bin_hmac
RiskPartnerTxnAttemptEvent,rda_linker_id
Reversal,sender_receiver
VenmoRemoveFI,venmo_account
VenmoRemoveFI,ip
VenmoRemoveFI,client_fingerprint
VenmoAddFI,fundingInstrumentID
VenmoRemoveFI,fundingInstrumentID
PaymentDebitNewDO,account_number
PaymentDebitNewDO,counterparty
DisputeLifecycleNewDO,account_number
DisputeLifecycleNewDO,counterparty
FraudNetMachineIdDO,machineID
BraintreeTxnDatalakeTable,account_id
BraintreeTxnDatalakeTable,ip
