Event,key,Ontology
LoginSucceeded,asn,ASN
CreditCardCreated,cidr,CIDR
CreditCardCreated,asn,ASN
LoginFailed,asn,ASN
LoginFailed,cidr,CIDR
DepositComplete,account_number,PayPalAccount
LoginPartial,account_number,PayPalAccount
CreditCardCreated,cc_bin,
CreditCardCreated,bin_hmac,BankIndenficationNumberPayPalHash
AccessInstrumentValidationAttemptedMessage,instrumentNumber,
AccessInstrumentValidationAttemptedMessage,account_number,
IDICaseEvent,account,
RiskPartnerTxnAttemptEvent,sender_email_address,Email
BAEventsMessage,ip_rda_address,IP
BAEventsMessage,visitor_rda_id,VID
BAEventsMessage,payment_method,
BAEventsMessage,payer_id-ip_rda_address,
BAEventsMessage,payer_id-visitor_rda_id,
BAEventsMessage,payer_id_payment_method,
BAEventsMessage,payer_id,PayPalAccount_PayPalAccount
RiskPartnerTxnAttemptEvent,ip,IP
RiskPartnerTxnAttemptEvent,counterparty_venmo_accountNumber,VenmoAccount
RiskPartnerTxnAttemptEvent,vmsender_vmreceiver,VenmoAccount_VenmoAccount
BAEventsMessage,payer_id-merchant_id,PayPalAccount_PayPalAccount
BAEventsMessage,merchant_id-ip_rda_address,
BAEventsMessage,visitor_rda_id-ip_context_address,
BAEventsMessage,visitor_rda_id-ip_rda_address,
BAEventsMessage,visitor_rda_id-merchant_id,
BAEventsMessage,sender_shipping_address_id-ip_context_address,
BAEventsMessage,sender_shipping_address_id-ip_rda_address,
BAEventsMessage,sender_shipping_address_id-visitor_context_id,
BAEventsMessage,sender_shipping_address_id -payer_id,
BAEventsMessage,sender_shipping_address_id-merchant_id,
BAEventsMessage,sender_shipping_address_id-visitor_rda_id,
BAEventsMessage,sender_shipping_address_id,
BAEventsMessage,merchant_id,
BAEventsMessage,billing_agreement_id,
BAEventsMessage,event_id,
DepositAttemptRejectedRequest,account_number,
UserIdentityVerification,account_number,PayPalAccount
PrimaryBankAccountChanged,account_number,PayPalAccount
CreditCardAddRejected,account_number,
NewAccountCreated,account,PayPalAccount
RiskPartnerTxnAttemptEvent,receiver_email_address,Email
DecisionResult,account_model_score,
DecisionResult,counterparty_model_score,
DecisionAttempt,ip,IP3
DecisionAttempt,visitor_id,VID
DecisionAttempt,receiver_account_number,
Refund,account_number,PayPalAccount
Refund,counterparty,PayPalAccount
DecisionAttempt,email,Email
Reversal,account_number,PayPalAccount
Reversal,counterparty,PayPalAccount
PaymentDebit,aton135_score,
DecisionAttempt,email_lowercase,Email
DecisionAttempt,ip2,
DecisionAttempt,ip3,IP3
DecisionAttempt,ip_str,
LoginAttemptEvaluation,account_number,
LoginAttemptEvaluation,login_entry_point,
Withdrawal,instrument_id,
RiskPartnerTxnAttemptEvent,sender_phone_number,Phone
RiskPartnerTxnAttemptEvent,sender_venmo_accountNumber,VenmoAccount
POSISO,access_instrument_id,TokenizedAccount
POSISO,account_number,PayPalAccount
PaymentDebit,binhmac_receiver,BankIndenficationNumberPayPalHash_PayPalAccount
MadmenBREVariableTrack,account_number,
AddressChanged,address_hash_64,AddressPayPalHash64
PaymentDebit,address_hash_64,AddressPayPalHash64
NewAccountCreated,n_address,
NewAccountCreated,fl_name,FirstnameLastname
UserFundsAvailabilityEvent,account_number,
NewAccountCreated,address_hash64,AddressPayPalHash64
BRECheckpointResult,ActivityId,
LexaContact,account_number,PayPalAccount
UnilateralPaymentCompeletion,counterparty_alias,
BRECheckpointResult,AccountNumber,
PaymentDebit,counterparty_email_domain,
VenmoCacheOutTransactionDataLakeTable,vm_account_number,
RiskPartnerTxnAttemptEvent,counterparty_PayPal_accountNumber,
RiskPartnerTxnAttemptEvent,sender_PayPal_accountNumber,
VenmoCashOut,account,VenmoAccount
VenmoCashOut,email,Email
VenmoCashOut,phone,Phone
VenmoCashOut,rda_remote_ip,
VenmoCashOut,ip_address,IP
PaymentAttempt,ebay_user_name,eBayAccount
PaymentAttempt,r_ebay_user_name,
AddressChanged,numeric_address,
CCAuthResult,counterparty,PayPalAccount
VenmoCacheOutTransactionDataLakeTable,email,
VenmoCacheOutTransactionDataLakeTable,phone,
VenmoCacheOutTransactionDataLakeTable,ip_address,
PaymentAttempt,email_pattern_l2_domain,
RiskPartnerTxnAttemptEvent,Funding Instrument ID Hashed,
RiskPartnerTxnAttemptEvent,Partner Funding Instrument ID,
RiskPartnerTxnAttemptEvent,Funding Instrument BIN,
VenmoCashOut,Funding Instrument ID,
VenmoCashOut,RDA Linker ID,
VenmoCashOut,card_bin,
VenmoCashOut,card_hash,
VenmoCashOut,rda_app_guid,AppGuid
PaymentDebit,email_pattern_l2_domain,
BRECheckpointResult,ReceiverAccountNumber,
VenmoAddFI,venmo_account,VenmoAccount
VenmoAddFI,ip,
OnboradingGCCheckpointResult,ActivityId,
OnboradingGCCheckpointResult,AccountNumber,
OnboradingGCCheckpointResult,ReceiverAccountNumber,
VenmoAddFI,client_fingerprint,VenmoClientFingerPrint
RiskWithdrawalAttemptDecision,account,
RiskWithdrawalAttemptDecision,ip,
LoginCheckpointResult,ActivityId,
LoginCheckpointResult,AccountNumber,
LoginCheckpointResult,ReceiverAccountNumber,
PaymentAttempt,activity_id,
PaymentAttemptVO,last_cc_hash,
PaymentAttemptVO,last_bin_hmac,
RiskPartnerTxnAttemptEvent,rda_linker_id,
Reversal,sender_receiver,
VenmoRemoveFI,venmo_account,
VenmoRemoveFI,ip,
VenmoRemoveFI,client_fingerprint,
VenmoAddFI,fundingInstrumentID,
VenmoRemoveFI,fundingInstrumentID,
PaymentDebitNewDO,account_number,
PaymentDebitNewDO,counterparty,
DisputeLifecycleNewDO,account_number,
DisputeLifecycleNewDO,counterparty,
FraudNetMachineIdDO,machineID,
BraintreeTxnDatalakeTable,account_id,
BraintreeTxnDatalakeTable,ip,
